insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 선릉로64길 32', 37.498327, 127.055008);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 언주로6121길', 37.514269, 127.034078);

insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 선릉로14길 34', 37.498327, 127.055008);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 921-6', 35.499477, 127.052006);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 1311-86', 37.497213, 127.054561);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 논현로427길', 37.513086, 127.033032);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 학동로58길', 37.513265, 127.033751);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 언주로621길', 37.514269, 127.034078);

insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 선릉로14길 34', 37.498327, 127.055008);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 924-6', 35.499477, 127.052006);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 10311-86', 37.497213, 127.054561);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 논현로1527길', 37.513086, 127.033032);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 학동로386길', 37.513265, 127.033751);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 언주로1721길', 37.514269, 127.034078);

insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 선릉로654길 34', 37.498327, 127.055008);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 9216-6', 35.499477, 127.052006);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 10118-86', 37.497213, 127.054561);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 논현7로127길', 37.513086, 127.033032);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 학동로938길', 37.513265, 127.033751);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 언주로5121길', 37.514269, 127.034078);

insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동1 선릉2로64길 34', 37.498327, 127.055008);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 19213-6', 35.499477, 127.052006);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 11011-886', 37.497213, 127.054561);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 1논현54로127길', 37.513086, 127.033032);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 1학동로378길', 37.513265, 127.033751);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 1언주로6121길', 37.514269, 127.034078);

insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 선릉로14길 34', 37.498327, 127.055008);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 921-6', 35.499477, 127.052006);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 1311-86', 37.497213, 127.054561);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 논현로427길', 37.513086, 127.033032);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 학동로58길', 37.513265, 127.033751);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 언주로621길', 37.514269, 127.034078);

insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 선릉로14길 34', 37.498327, 127.055008);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 924-6', 35.499477, 127.052006);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 10311-86', 37.497213, 127.054561);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 논현로1527길', 37.513086, 127.033032);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 학동로386길', 37.513265, 127.033751);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 언주로1721길', 37.514269, 127.034078);

insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 선릉로654길 34', 37.498327, 127.055008);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 9216-6', 35.499477, 127.052006);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 10118-86', 37.497213, 127.054561);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 논현7로127길', 37.513086, 127.033032);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 학동로938길', 37.513265, 127.033751);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 언주로5121길', 37.514269, 127.034078);

insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 4선릉2로64길 34', 37.498327, 127.055008);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 92213-6', 35.499477, 127.052006);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 13011-886', 37.497213, 127.054561);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 논현554로127길', 37.513086, 127.033032);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 학동6로378길', 37.513265, 127.033751);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 언주7로6121길', 37.514269, 127.034078);

insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 선릉로14길 34', 37.498327, 127.055008);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 921-6', 35.499477, 127.052006);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 1311-86', 37.497213, 127.054561);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 논현로427길', 37.513086, 127.033032);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 학동로58길', 37.513265, 127.033751);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 언주로621길', 37.514269, 127.034078);

insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 선릉로14길 34', 37.498327, 127.055008);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 924-6', 35.499477, 127.052006);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 10311-86', 37.497213, 127.054561);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 논현로1527길', 37.513086, 127.033032);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 학동로386길', 37.513265, 127.033751);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 언주로1721길', 37.514269, 127.034078);

insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 선릉로654길 34', 37.498327, 127.055008);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 9216-6', 35.499477, 127.052006);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 10118-86', 37.497213, 127.054561);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 논현7로127길', 37.513086, 127.033032);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 학동로938길', 37.513265, 127.033751);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 언주로5121길', 37.514269, 127.034078);

insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 선릉92로64길 34', 37.498327, 127.055008);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 9213-06', 35.499477, 127.052006);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치4동 1011-0886', 37.497213, 127.054561);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 논현540로127길', 37.513086, 127.033032);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 학동로3078길', 37.513265, 127.033751);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현2동 언주로60121길', 37.514269, 127.034078);

insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대1치4동 선릉로14길 34', 37.498327, 127.055008);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대1치4동 924-6', 35.499477, 127.052006);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대1치4동 10311-86', 37.497213, 127.054561);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논1현2동 논현로1527길', 37.513086, 127.033032);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논1현2동 학동로386길', 37.513265, 127.033751);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논1현2동 언주로1721길', 37.514269, 127.034078);

insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대1치4동 선릉로654길 34', 37.498327, 127.055008);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대1치4동 9216-6', 35.499477, 127.052006);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치14동 10118-86', 37.497213, 127.054561);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현12동 논현7로127길', 37.513086, 127.033032);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현12동 학동로938길', 37.513265, 127.033751);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현12동 언주로5121길', 37.514269, 127.034078);

insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대1치4동 선릉92로64길 34', 37.498327, 127.055008);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대1치4동 9213-06', 35.499477, 127.052006);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 대치14동 1011-0886', 37.497213, 127.054561);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논현12동 논현540로127길', 37.513086, 127.033032);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논1현2동 학동로3078길', 37.513265, 127.033751);
insert into parking_area values(pa_seq.nextval, '서울', '강남', '서울특별시 강남구 논1현2동 언주로60121길', 37.514269, 127.034078);
